Neologism,Explanation(English),Category,Mood,Channel,Age Group,Example Sentence,Background(English),Year,Whom to Use,Type,Language
낚다,"Clickbait, bait",Negative Experiences,Negative,Community,10s-30s,제목 보고 낚였다;; 다른 내용임,"This term originates from the original expression used when catching fish, and it refers to the act of attracting people's attention online and leading them to harmful or irrelevant pages or content.",,Casual,Phrase,Korean
본좌,The GOAT (Greatest of All Time),Conversational,Neutral,Youtube,20s-30s,본좌의 실력을 보여주지,"On the online community DC Inside, a specific scene from the Hong Kong drama 'Journey to the West 2' has become popular and is spreading as a new slang term.",2000,Casual,Word,Korean
비친,Trusted friend,Relationships,Neutral,null,10s-20s,이건 비친만 봐… 일반 공개 안 함,The remarks made by a man in his 40s to a fake account posing as a teenager on a random instant meetup chat app have become a hot topic and transformed into a new slang term.,2017,Casual,Word,Korean
비추,Not recommended,Negative Experiences,Negative,Community,All,이 영화는 비추. 진심 시간 아까워,The term 'downvote' from online community sites is being abbreviated and spreading.,,Casual,Word,Korean
관태기,Relationship burnout,Relationships,Negative,null,20s,요즘 누구랑도 연락하기 싫어… 관태기 온 듯,"This is a compound word referring to the phenomenon of feeling bored with forming relationships. It emerged from a background of a generation more accustomed to a culture of solitude than managing personal connections, following the increase in single-person households.",2016,Casual,Word,Korean
뽀시래기,Little squishy baby / Tiny bean (used affectionately),Humor and Exaggerated,Positive,null,10s-20s,저 뽀시래기 봐. 너무 귀엽다,"This term originates from a dialect in Gyeongsang Province, meaning 'small, broken fragments'. It is used to express objects such as characters or animals in a cute way.",2020,Casual,Word,Korean
소피커,Quiet speaker / Shy talker,Relationships,Neutral,null,10s-20s,나 요즘 할말은 하자는 주의야! 완전 소피커됐어!,"This is a compound word of 'conviction' and 'speaker', reflecting the characteristics of the MZ generation who express their opinions or what they want to say. It is a newly coined term.",2019,Casual,Word,Korean
뇌피셜,Brain-made theory / Personal guess,Conversational,Neutral,Community,10s-30s,"그건 내 뇌피셜이긴 한데, 맞는 것 같아ㅋㅋ","This Korean text translates to English as: ""Used in various online communities, including overseas sports, 'official' meaning 'official' and 'brain' are compound words that satirize the depiction of personal claims as facts, not accurate information.""",2016,Casual,Word,Korean
레게노,Legend (intentionally mispronounced),Humor and Exaggerated,Neutral,Broadcast,10s-20s,이 무대는 진짜 레게노다. 레전드 그 자체,The famous broadcaster 'WooWakGood' on the online streaming channel Twitch went viral as his wife mispronounced the word 'Legend' during a game broadcast.,2019,Casual,Word,Korean
시발비용,F*** it money / Stress-spending,Economy,Neutral,Twitter,20s-30s,그냥 시발비용으로 질렀다. 후회는 없다,"This term started being used on Twitter. It's a compound word combining the Korean swear word 'Shibal' and 'cost', used to refer to the amount of money spent in frustration to relieve stress.",2017,Vulgar,Word,Korean
아무 말 대잔치,Nonsense fest / Word salad,Conversational,Neutral,Twitter,All,댓글창 아무 말 대잔치라 너무 웃겨ㅋㅋ,"The term originated from the characteristics of the SNS channel Twitter, which allows for any text-based posts.",,Casual,Word,Korean
지름신,Shopping impulse / Consumer demon,Economy,Neutral,Community,20s-30s,지름신 강림해서 갑자기 아이패드 샀다,"This is a compound word of 'splurge' and 'god', used to express the act of impulsively buying something you want as if you were inspired by a god.",2005,Casual,Word,Korean
창렬,Overpriced and underwhelming (derived from a name),Negative Experiences,Negative,Community,20s-30s,이거 진짜 창렬이네… 양도 적고 비싸기만,The product featuring Korean singer Kim Chang-ryul as an advertising model has been criticized for being over-advertised. The term is used to refer to products that are over-advertised and packaged using Kim Chang-ryul's name.,2013,Casual,Word,Korean
혜자,"Generous, great deal",Positive Experiences,Positive,Community,All,와 이 도시락 혜자다. 가격에 비해 퀄리티 대박,"Praising the composition of the convenience store lunch box product named after the Korean actress Kim Hye-ja, they used the actress's name directly.",2013,Casual,Word,Korean
퐁퐁남,Dish-soap guy (overly sacrificing boyfriend),lifestyle,Negative,Community,20s,다 해주네 퐁퐁남이네 진짜,,2022,Casual,Word,Korean
혈중 마라 농도,Blood-level mala concentration (meme for craving spicy food),Conversational,Neutral,Community,10s-20s,혈중 마라 농도 떨어졌어. 훠궈 땡긴다,"The term 'Mala', a popular food from the Sichuan region of China among the younger generation, has gained popularity and spread.",2019,Casual,Word,Korean
솔까말,To be real / Honestly,Conversational,Neutral,Community,20s-30s,"솔까말, 저 캐릭터 별로임","This phrase, which started to be used in online communities like DC Inside, is an abbreviation for 'frankly speaking' or 'to be honest'.",2008,Casual,Word,Korean
이왜진,How did this become real? / Is this for real?,Conversational,Neutral,Community,10s-20s,나 1등 했다고? 이왜진;;,"This is an expression that started to be used in online communities such as DC Inside, and it's an abbreviation for 'Why is this real?'",2008,Casual,Word,Korean
커담,Cup + Ramen + Soup = Cup-ramen-soup addict,Humor and Exaggerated,Neutral,Community,10s-20s,커담 끊어야되는데.. 쉽지 않네..,"The abbreviation for the combination of coffee and cigarettes, which are representative symbolic foods of South Korea.",,Casual,Word,Korean
흠좀무,Hmm... kind of scary,Conversational,Neutral,Community,30s~,그 AI 밈 좀 무섭던데… 흠좀무;;,"The phrase ""Hmm, it's a bit scary"" became popular as an abbreviation in the Japanese Animation Gallery on DC Inside, spreading as a rumor related to the Japanese animation ""Crayon Shin-chan"".",2007,Casual,Word,Korean
파딱,Idol fan who joined recently / Newbie fan,Hobbies,Positive,Twitter,10s-20s,나 파딱이라 팬싸 텐션 아직 못 맞춤ㅠㅠ,The term refers to the blue badge icon that appears next to the sub-manager who manages the minor galleries inside DC Inside.,,Casual,Word,Korean
SBN,"Senior (in ironic tone, often exaggerated respect)",Relationships,Neutral,Broadcast,10s-20s,SBN… 그 말 너무 맞으십니다ㅠ,"This is a new slang term started by idol fans, expressing the initial consonants of the word 'senior' in English alphabet.",2022,Casual,Word,Korean
맘찍,Heart-stamped / Crush,Hobbies,Positive,Twitter,10s-20s,그 짤 맘찍이야. 하루 종일 생각남,The term referring to the 'like' mark on Twitter,,Casual,Word,Korean
"멋지다, 연진아!","Yeonjin, you’re amazing!",Humor and Exaggerated,Negative,Broadcast,All,복수 깔끔하게 함ㅋㅋ 연진아 멋지다!,"The line spoken by the protagonist, who was a past victim of bullying, to the perpetrator in the Korean drama 'The Glory' on the OTT service 'Netflix' has become popular.",2023,Casual,Phrase,Korean
맑눈광,Pure-eyed lunatic / Innocent psycho,Beauty,Neutral,Twitter,10s-20s,쟤 진짜 맑눈광임. 미친 짓 하는데 순수함,The term refers to the character played by the actress 'Kim A Young' on the online community and SNL Korea channel. It is used to describe a person who exudes an inexplicable madness from their clear eyes.,2022,Casual,Word,Korean
이지적이다,Gives off intelligent vibes (visual + tone),Conversational,Neutral,,20s,그 배우 이지적이다… 분위기 너무 고급져,"The term 'easy' was used as a substitute for the Korean expression '이지적이다', which originally means wise and rational.",2021,Casual,Phrase,Korean
너 T야?,Are you T? (MBTI: Thinking type?),Humor and Exaggerated,Neutral,Broadcast,10s-20s,너 T야? 말이 너무 날카로운데;;,"The expression originated from distinguishing people's tendencies into F and T as the MBTI personality test became popular. It spread from a video on the YouTube channel 'Meme Algorithm', used for people who cannot empathize.",2023,Casual,Phrase,Korean
모에모에큐뀽,Moe moe kyun~! (Japanese otaku maid café meme),Humor and Exaggerated,Positive,Broadcast,10s-20s,알바하다가 실수했는데 모에모에큐뀽으로 용서받음ㅋㅋ,"The term is used in a performance that casts a spell to make the food ordered at a maid cafe in Japan taste better. It has been popularized by 'Tanaka', a Japanese character on the Korean YouTuber channel 'Namolla Family Hot Show'.",2022,Casual,Word,Korean
뉴런 공유함,Our brains are linked / We’re in sync mentally,Relationships,Neutral,Broadcast,10s-20s,헐 나도 그 생각함. 뉴런 공유함ㅋㅋㅋ,"This phrase is used to express relationships within idol groups in reality entertainment shows, and it is spreading.",2024,Casual,Phrase,Korean
오쏘몰이다,It's Orthomol (used to flex premium vitamins),Humor and Exaggerated,Positive,Youtube,20s-30s,걔 너무 잘생겼지 않니? 내 오쏘몰이야~,"This Korean text translates to English as: ""Used when referring to a powerful entity, borrowing the name of the popular multivitamin 'Ossomol'.""",2023,Casual,Phrase,Korean
오우예씨몬,Oh yesimon~!,Humor and Exaggerated,Positive,Broadcast,10s-20s,이거 한다고? 오우예씨몬~,"The trendy exclamation, derived from reading the letter 'C' in 'Oh, yeah. C'mon!' - a phrase often used in fun and exciting situations - as it is in the alphabet.",2023,Casual,Word,Korean
묻고 더블로 가,To ignore the failures or losses and make an even bigger gamble.,Humor and Exaggerated,Neutral,Broadcast,,"내기에서 졌지만, 묻고 더블로 가야지. 이번에 한 번에 복수할 거야.",A movie derived from the dialogue of the Korean film 'Tazza'.,2006,Casual,Phrase,Korean
